key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp.keys,key_resp_3.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,left,right,left_selected,right_selected,right_rew_dbl,left_rew_dbl,stim1,stim2,trigger_integer,block,trial_n,trial_id,right_rew,left_rew,typeOfChoice,correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.rt,key_resp_2.rt
,,,,left,0,15,15,15,1,g_4.png,b_4.png,g_4_d.png,b_4_d.png,60,40,1,3,13,4,16,556,6 0,4 0,2,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.4907,
,,,,left,0,16,16,16,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,56,58,2,3,23,4,17,557,5 6,5 8,4,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.5298,
,,,,right,0,17,17,17,1,b_4.png,y_4.png,b_4_d.png,y_4_d.png,45,68,3,4,34,4,18,558,4 5,6 8,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.5392,
,,,,left,0,18,18,18,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,17,64,2,3,23,4,19,559,1 7,6 4,4,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.5853,
,,,,left,0,19,19,19,1,y_4.png,b_4.png,y_4_d.png,b_4_d.png,38,33,4,3,43,4,20,560,3 8,3 3,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.677400001,
,,,,right,0,20,20,20,1,y_4.png,g_4.png,y_4_d.png,g_4_d.png,66,34,4,1,41,4,21,561,6 6,3 4,3,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.7835,
,,,,right,0,21,21,21,1,y_4.png,g_4.png,y_4_d.png,g_4_d.png,65,34,4,1,41,4,22,562,6 5,3 4,3,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.5997,
,,,,left,0,22,22,22,1,b_4.png,y_4.png,b_4_d.png,y_4_d.png,47,37,3,4,34,4,23,563,4 7,3 7,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.1966,
,,,,right,0,23,23,23,1,y_4.png,g_4.png,y_4_d.png,g_4_d.png,53,51,4,1,41,4,24,564,5 3,5 1,3,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.69,
,,,,left,0,24,24,24,1,p_4.png,y_4.png,p_4_d.png,y_4_d.png,49,53,2,4,24,4,25,565,4 9,5 3,5,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.5522,
,,,,left,0,25,25,25,1,g_4.png,p_4.png,g_4_d.png,p_4_d.png,67,78,1,2,12,4,26,566,6 7,7 8,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.638400001,
,,,,left,0,26,26,26,1,g_4.png,b_4.png,g_4_d.png,b_4_d.png,35,91,1,3,13,4,27,567,3 5,9 1,2,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.7336,
